# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	8035
#@/user_id	current
bao yue 	包月	c=1 d=1.67686e-23 t=7478
bao zhang 	保障	c=5 d=0.0305009 t=7478
bao zhe 	抱着	c=1 d=1.67686e-23 t=7478
bao zheng 	保证	c=36 d=1.90204e-05 t=7478
bao zheng 	暴政	c=1 d=1.67686e-23 t=7478
bao zhi 	保值	c=1 d=1.67686e-23 t=7478
bao zhu 	保住	c=1 d=1.67686e-23 t=7478
bao zhuang 	包装	c=6 d=5.869e-23 t=7478
bao zi 	包子	c=2 d=2.51529e-23 t=7478
bei 	倍	c=82 d=8.13374e-12 t=7478
bei 	北	c=6 d=5.869e-23 t=7478
bei 	呗	c=17 d=1.50917e-22 t=7478
bei 	背	c=10 d=9.22275e-23 t=7478
bei 	被	c=510 d=0.484349 t=7478
bei 	贝	c=6 d=5.869e-23 t=7478
bei 	辈	c=1 d=1.67686e-23 t=7478
bei ai 	悲哀	c=1 d=1.67686e-23 t=7478
bei ci 	背刺	c=1 d=1.67686e-23 t=7478
bei diao 	被调	c=26 d=2.26376e-22 t=7478
bei dong 	被动	c=4 d=4.19214e-23 t=7478
bei er 	贝尔	c=1 d=1.67686e-23 t=7478
bei fang 	北方	c=3 d=3.35372e-23 t=7478
bei fen 	备份	c=40 d=8.68522e-11 t=7478
bei hou 	背后	c=2 d=2.51529e-23 t=7478
bei ji 	北极	c=3 d=3.35372e-23 t=7478
bei ji xing 	北极星	c=34 d=2.81791 t=7939
bei jing 	北京	c=11 d=1.00612e-22 t=7478
bei jing 	背景	c=54 d=4.61138e-22 t=7478
bei lai 	被来	c=1 d=1.67686e-23 t=7478
bei lv 	倍率	c=1 d=1.67686e-23 t=7478
bei ma 	被骂	c=1 d=1.67686e-23 t=7478
bei ni 	被你	c=2 d=2.51529e-23 t=7478
bei ou 	北欧	c=1 d=1.67686e-23 t=7478
bei pan 	背叛	c=2 d=2.51529e-23 t=7478
bei ren 	被人	c=2 d=2.51529e-23 t=7478
bei sha 	被杀	c=1 d=1.67686e-23 t=7478
bei shi 	北市	c=1 d=1.67686e-23 t=7478
bei shu 	倍数	c=2 d=2.51529e-23 t=7478
bei shuo 	被说	c=1 d=1.67686e-23 t=7478
bei wang lu 	备忘录	c=7 d=6.70744e-23 t=7478
bei wei 	卑微	c=1 d=1.67686e-23 t=7478
bei wo 	被我	c=19 d=1.67686e-22 t=7478
bei xue 	被削	c=1 d=0.000340533 t=7478
bei yong 	备用	c=10 d=9.22275e-23 t=7478
bei yong ji 	被用机	c=1 d=1.67686e-23 t=7478
bei you xi 	被游戏	c=1 d=1.67686e-23 t=7478
bei zhu 	备注	c=27 d=2.34761e-22 t=7478
bei zi 	被子	c=2 d=2.51529e-23 t=7478
bei zi 	辈子	c=0 d=0 t=7478
ben 	本	c=29 d=2.51529e-22 t=7478
ben ci 	本次	c=2 d=2.51529e-23 t=7478
ben di 	本地	c=265 d=0.600496 t=7478
ben di bian yi 	本地编译	c=1 d=1.67686e-23 t=7478
ben di hua 	本地化	c=1 d=1.67686e-23 t=7478
ben fu 	奔赴	c=1 d=1.67686e-23 t=7478
ben guan 	本官	c=1 d=1.67686e-23 t=7478
ben hang 	本行	c=1 d=1.67686e-23 t=7478
ben ji 	本机	c=13 d=1.17381e-22 t=7478
ben jin 	本金	c=15 d=1.34149e-22 t=7478
ben ke 	本科	c=4 d=0.83527 t=7478
ben ke sheng 	本科生	c=1 d=1.67686e-23 t=7478
ben lai 	本来	c=174 d=1.46725e-21 t=7478
ben neng 	本能	c=3 d=3.35372e-23 t=7478
ben qun 	本群	c=3 d=3.35372e-23 t=7478
ben ren 	本人	c=5 d=5.03059e-23 t=7478
ben shen 	本身	c=33 d=2.85066e-22 t=7478
ben ti 	本体	c=2 d=2.51529e-23 t=7478
ben wen 	本文	c=2 d=2.51529e-23 t=7478
ben wen jian 	本文件	c=1 d=1.67686e-23 t=7478
ben xiao 	本校	c=1 d=1.67686e-23 t=7478
ben xing 	本性	c=4 d=4.19214e-23 t=7478
ben ying 	本营	c=1 d=1.67686e-23 t=7478
ben zhi 	本职	c=1 d=0.0599046 t=7478
ben zhi 	本质	c=1 d=1.67686e-23 t=7478
ben zhou 	本周	c=5 d=5.03059e-23 t=7478
ben zi 	本子	c=2 d=2.51529e-23 t=7478
beng 	崩	c=116 d=9.80963e-22 t=7478
beng bu zhu 	崩不住	c=17 d=1.50917e-22 t=7478
beng bu zu 	崩不足	c=1 d=1.67686e-23 t=7478
beng di 	蹦迪	c=1 d=1.67686e-23 t=7478
beng kai 	崩开	c=1 d=1.67686e-23 t=7478
beng kuai 	崩快	c=1 d=1.67686e-23 t=7478
beng kui 	崩溃	c=6 d=5.869e-23 t=7478
beng zhu 	绷住	c=35 d=3.01835e-22 t=7478
bi 	币	c=22 d=1.92839e-22 t=7478
bi 	必	c=10 d=9.22275e-23 t=7478
bi 	比	c=258 d=0.778801 t=7478
