# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	2174
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bao zhuang 	包装	c=6 d=1.89885e-12 t=2174
bao zi 	包子	c=2 d=8.13795e-13 t=2174
bei 	倍	c=82 d=0.263158 t=2174
bei 	北	c=6 d=1.89885e-12 t=2174
bei 	呗	c=17 d=4.88277e-12 t=2174
bei 	背	c=10 d=2.98391e-12 t=2174
bei 	被	c=505 d=0.010951 t=2174
bei 	贝	c=6 d=1.89885e-12 t=2174
bei 	辈	c=1 d=5.4253e-13 t=2174
bei ai 	悲哀	c=1 d=5.4253e-13 t=2174
bei ci 	背刺	c=1 d=5.4253e-13 t=2174
bei diao 	被调	c=26 d=7.32415e-12 t=2174
bei dong 	被动	c=4 d=1.35632e-12 t=2174
bei er 	贝尔	c=1 d=5.4253e-13 t=2174
bei fang 	北方	c=3 d=1.08506e-12 t=2174
bei fen 	备份	c=39 d=0.932394 t=2174
bei hou 	背后	c=2 d=8.13795e-13 t=2174
bei ji 	北极	c=3 d=1.08506e-12 t=2174
bei ji xing 	北极星	c=29 d=8.13795e-12 t=2174
bei jing 	北京	c=11 d=3.25518e-12 t=2174
bei jing 	背景	c=54 d=1.49196e-11 t=2174
bei lai 	被来	c=1 d=5.4253e-13 t=2174
bei lv 	倍率	c=1 d=5.4253e-13 t=2174
bei ma 	被骂	c=1 d=5.4253e-13 t=2174
bei ni 	被你	c=2 d=8.13795e-13 t=2174
bei ou 	北欧	c=1 d=5.4253e-13 t=2174
bei pan 	背叛	c=2 d=8.13795e-13 t=2174
bei ren 	被人	c=2 d=8.13795e-13 t=2174
bei sha 	被杀	c=1 d=5.4253e-13 t=2174
bei shi 	北市	c=1 d=5.4253e-13 t=2174
bei shu 	倍数	c=2 d=8.13795e-13 t=2174
bei shuo 	被说	c=1 d=5.4253e-13 t=2174
bei wang lu 	备忘录	c=7 d=2.17012e-12 t=2174
bei wei 	卑微	c=1 d=5.4253e-13 t=2174
bei wo 	被我	c=19 d=5.4253e-12 t=2174
bei yong 	备用	c=10 d=2.98391e-12 t=2174
bei yong ji 	被用机	c=1 d=5.4253e-13 t=2174
bei you xi 	被游戏	c=1 d=5.4253e-13 t=2174
bei zhu 	备注	c=27 d=7.59542e-12 t=2174
bei zi 	被子	c=2 d=8.13795e-13 t=2174
bei zi 	辈子	c=0 d=0 t=2174
ben 	本	c=29 d=8.13795e-12 t=2174
ben ci 	本次	c=2 d=8.13795e-13 t=2174
ben di 	本地	c=263 d=0.00253143 t=2174
ben di bian yi 	本地编译	c=1 d=5.4253e-13 t=2174
ben di hua 	本地化	c=1 d=5.4253e-13 t=2174
ben fu 	奔赴	c=1 d=5.4253e-13 t=2174
ben guan 	本官	c=1 d=5.4253e-13 t=2174
ben hang 	本行	c=1 d=5.4253e-13 t=2174
ben ji 	本机	c=13 d=3.79771e-12 t=2174
ben jin 	本金	c=15 d=4.34024e-12 t=2174
ben ke 	本科	c=3 d=1.08506e-12 t=2174
ben ke sheng 	本科生	c=1 d=5.4253e-13 t=2174
ben lai 	本来	c=174 d=4.74713e-11 t=2174
ben neng 	本能	c=3 d=1.08506e-12 t=2174
ben qun 	本群	c=3 d=1.08506e-12 t=2174
ben ren 	本人	c=5 d=1.62759e-12 t=2174
ben shen 	本身	c=33 d=9.223e-12 t=2174
ben ti 	本体	c=2 d=8.13795e-13 t=2174
ben wen 	本文	c=2 d=8.13795e-13 t=2174
ben wen jian 	本文件	c=1 d=5.4253e-13 t=2174
ben xiao 	本校	c=1 d=5.4253e-13 t=2174
ben xing 	本性	c=4 d=1.35632e-12 t=2174
ben ying 	本营	c=1 d=5.4253e-13 t=2174
ben zhi 	本质	c=1 d=5.4253e-13 t=2174
ben zhou 	本周	c=5 d=1.62759e-12 t=2174
ben zi 	本子	c=2 d=8.13795e-13 t=2174
beng 	崩	c=116 d=3.1738e-11 t=2174
beng bu zhu 	崩不住	c=17 d=4.88277e-12 t=2174
beng bu zu 	崩不足	c=1 d=5.4253e-13 t=2174
beng di 	蹦迪	c=1 d=5.4253e-13 t=2174
beng kai 	崩开	c=1 d=5.4253e-13 t=2174
beng kuai 	崩快	c=1 d=5.4253e-13 t=2174
beng kui 	崩溃	c=6 d=1.89885e-12 t=2174
beng zhu 	绷住	c=35 d=9.76553e-12 t=2174
bi 	币	c=22 d=6.23909e-12 t=2174
bi 	必	c=10 d=2.98391e-12 t=2174
bi 	比	c=256 d=0.00548487 t=2174
bi 	毕	c=3 d=1.08506e-12 t=2174
bi 	逼	c=12 d=3.52644e-12 t=2174
bi 	闭	c=1 d=5.4253e-13 t=2174
bi an 	彼岸	c=1 d=5.4253e-13 t=2174
bi bei 	必备	c=1 d=5.4253e-13 t=2174
bi bu liao 	比不了	c=3 d=1.08506e-12 t=2174
bi bu shang 	比不上	c=10 d=2.98391e-12 t=2174
bi chu 	必出	c=1 d=5.4253e-13 t=2174
bi chuan 	必传	c=4 d=1.35632e-12 t=2174
