# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	12038
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
dlbj 	待办	c=5 d=0.0154523 t=12038
dlbu 	待哺	c=1 d=0.00565622 t=12038
dlda 	代打	c=1 d=0.0450492 t=12038
dlxm 	代县	c=1 d=0.45612 t=12038
dmco 	点错	c=9 d=0.179287 t=12038
dmdo 	点多	c=1 d=9.93288e-10 t=12038
dmgo 	点过	c=8 d=0.00119529 t=12038
dmij 	电铲	c=1 d=0.000380129 t=12038
dmju 	电锯	c=1 d=0.00318278 t=12038
dmjy 	电竞	c=5 d=0.210777 t=12038
dmnj 	滇南	c=1 d=0.0655462 t=12038
dmva 	电闸	c=1 d=3.50963e-06 t=12038
dmvr 	电转	c=1 d=5.77343e-09 t=12038
doan 	多按	c=1 d=0.00458484 t=12038
dobz 	多倍	c=2 d=0.00232276 t=12038
dohh 	多行	c=13 d=0.147262 t=12038
dokl 	多开	c=3 d=0.181772 t=12038
dolm 	多练	c=5 d=0.995087 t=12038
dolz 	多类	c=1 d=2.42422e-06 t=12038
doqy 	多请	c=1 d=0.000812821 t=12038
doud 	多爽	c=1 d=0.000825105 t=12038
douh 	多上	c=1 d=9.56811e-11 t=12038
doui 	多试	c=3 d=8.74792e-10 t=12038
douknm 	多少年	c=1 d=0.0256042 t=12038
doul 	多晒	c=1 d=0.000611253 t=12038
dovk 	多找	c=2 d=2.84485e-06 t=12038
dovs 	多种	c=1 d=1.88407e-11 t=12038
doxi 	多细	c=1 d=0.0208584 t=12038
doxm 	多线	c=1 d=0.000157671 t=12038
dphk 	顿号	c=2 d=5.82116e-10 t=12038
drc 	葮	c=1 d=0.0146253 t=12038
drju 	短剧	c=318 d=5.3329 t=12038
drjud 	短剧	c=1 d=0.244143 t=12038
drle 	端了	c=1 d=0.913931 t=12038
drwz 	段位	c=2 d=3.68441e-11 t=12038
dryi 	短衣	c=1 d=0.151072 t=12038
dryu 	短语	c=3 d=2.65334e-08 t=12038
dsdk 	动刀	c=1 d=0.00332928 t=12038
dslt 	勭	c=1 d=0.00199922 t=12038
dsni 	懂你	c=2 d=3.32313e-07 t=12038
dsqi 	冬祺	c=1 d=2.07113e-07 t=12038
dsxt 	冬雪	c=1 d=0.000277414 t=12038
duihb 	赌场	c=1 d=1.34057e-07 t=12038
dvba 	对吧	c=92 d=8.42902 t=12038
dvbc 	队标	c=1 d=0.0581343 t=12038
dvbudv 	对不对	c=7 d=0.00238244 t=12038
dvde 	对的	c=1 d=0.00444934 t=12038
dvgo 	对过	c=19 d=1.59284 t=12038
dvma 	对嘛	c=3 d=0.00115923 t=12038
dvuh 	对上	c=19 d=0.634017 t=12038
dvxw 	对下	c=37 d=4.75518 t=12038
dvyn 	对印	c=11 d=0.666977 t=12038
dvyy 	对应	c=118 d=6.25343 t=12038
dvyyy 	对应	c=3 d=0.105399 t=12038
dyge 	顶个	c=1 d=0.00887071 t=12038
dyih 	定长	c=1 d=3.09724e-06 t=12038
dyjudm 	定居点	c=2 d=0.00120375 t=12038
dysi 	顶死	c=1 d=0.0026189 t=12038
dywd 	玎	c=1 d=0.162838 t=12038
dyze 	定责	c=1 d=0.12307 t=12038
e 	二	c=19 d=1.21877 t=12038
eele 	饿了	c=3 d=0.432021 t=12038
eels 	恶龙	c=2 d=1.5772 t=12038
eh, 	恶化	c=2 d=0.0254811 t=12038
em 	呒	c=8 d=3.58714 t=12038
eq, 	而且	c=1 d=7.26644e-09 t=12038
erhp 	二婚	c=2 d=0.00191125 t=12038
erhv 	而会	c=1 d=0.88692 t=12038
erlh 	二郎	c=1 d=3.03642e-08 t=12038
erta 	而他	c=1 d=3.19982e-07 t=12038
ertl 	二胎	c=1 d=0.00190171 t=12038
erty 	二厅	c=1 d=0.0145524 t=12038
erzu 	二组	c=1 d=0.239309 t=12038
eub, 	二十八	c=1 d=0.918512 t=12038
f 	非	c=40 d=6.24595 t=12038
faa 	发	c=1 d=8.23115e-05 t=12038
fabj 	法办	c=10 d=0.353455 t=12038
fadb 	发抖	c=3 d=0.109154 t=12038
falg 	发冷	c=1 d=8.69654e-05 t=12038
faqm 	罚钱	c=1 d=0.205975 t=12038
fasd 	罚	c=3 d=1.85086 t=12038
fauw 	发刷	c=1 d=0.116484 t=12038
fawj 	发完	c=28 d=1.99562 t=12038
fax 	发现	c=4 d=3.97033e-08 t=12038
faxc 	发小	c=1 d=0.000437252 t=12038
fazj 	发簪	c=1 d=0.0502874 t=12038
ffa 	分案	c=1 d=0.364219 t=12038
ffdm 	分点	c=1 d=0.00406639 t=12038
fflu 	分路	c=1 d=0.377192 t=12038
ffmu 	分母	c=13 d=0.697647 t=12038
ffpm 	分片	c=1 d=0.00192083 t=12038
ffpn 	分频	c=2 d=0.0158278 t=12038
ffti 	分体	c=17 d=0.803563 t=12038
fgiu 	凤雏	c=1 d=0.00304273 t=12038
fgjn 	封禁	c=1 d=5.17115e-07 t=12038
fhbu 	房补	c=6 d=1.1167 t=12038
fhco 	放错	c=1 d=0.000115067 t=12038
fhjq 	方就	c=1 d=5.87485e-08 t=12038
fhlq 	放流	c=2 d=2.73362e-11 t=12038
fhyuxy 	防御性	c=1 d=0.0211736 t=12038
fjbm 	翻遍	c=1 d=6.69159e-10 t=12038
fjbu 	反哺	c=1 d=0.0115047 t=12038
fjie 	翻车	c=1 d=5.35444e-05 t=12038
fjti 	繁体	c=18 d=2.49802 t=12038
fjtm 	翻天	c=1 d=0.128735 t=12038
fjtv 	反推	c=1 d=0.0156076 t=12038
fjve 	反者	c=1 d=2.16087e-06 t=12038
fjxq 	翻修	c=1 d=1.07083e-11 t=12038
fm, 	方面	c=1 d=0.22313 t=12038
fodj 	佛诞	c=1 d=3.03591e-06 t=12038
fp, 	分配	c=1 d=0.00269866 t=12038
fubcti 	副标题	c=2 d=0.13068 t=12038
fubk 	福报	c=1 d=0.183599 t=12038
fuce 	复测	c=3 d=6.46024e-08 t=12038
fuge 	富哥	c=3 d=6.9605e-08 t=12038
fuhk 	符号	c=32 d=0.881819 t=12038
fuma 	辅码	c=2 d=0.650948 t=12038
fupj 	复盘	c=11 d=0.51462 t=12038
fuqi 	氟气	c=20 d=2.06741 t=12038
fuqidm 	夫妻店	c=1 d=1.87921e-10 t=12038
fuvui 	辅助	c=1 d=0.0135009 t=12038
fuvuma 	辅助码	c=5 d=0.9325 t=12038
fuxm 	复现	c=178 d=9.731 t=12038
fuyj 	复验	c=1 d=1.27849e-08 t=12038
fuzsts 	副总统	c=1 d=0.118245 t=12038
fuzv 	负罪	c=1 d=9.21203e-06 t=12038
fx, 	发现	c=1 d=2.747e-06 t=12038
fzde 	非得	c=6 d=0.0653317 t=12038
fzpg 	飞蓬	c=1 d=1.34729e-07 t=12038
fzuu 	飞书	c=6 d=0.320609 t=12038
g 	个	c=62 d=2.87468 t=12038
gbgk 	够高	c=1 d=4.43016e-11 t=12038
gbjc 	狗叫	c=81 d=2.39121 t=12038
gbni 	勾泥	c=1 d=0.194952 t=12038
gbwo 	够我	c=1 d=0.40657 t=12038
gbyh 	狗样	c=1 d=1.73054e-11 t=12038
gddg 	光灯	c=1 d=0.0308074 t=12038
gedj 	个蛋	c=8 d=1.89477 t=12038
gedm 	个点	c=2 d=0.0257325 t=12038
gefhmm 	各方面	c=3 d=1.30174e-07 t=12038
gekj 	哿	c=1 d=0.0724398 t=12038
gelv 	格律	c=1 d=0.565525 t=12038
geuu 	个数	c=17 d=0.695944 t=12038
gew 	各	c=1 d=9.71272e-11 t=12038
geyi 	个亿	c=1 d=0.000383949 t=12038
gfll 	跟来	c=1 d=0.151072 t=12038
ggbm 	更变	c=1 d=0.00124328 t=12038
ggdr 	更短	c=2 d=0.0136366 t=12038
gggy 	更怪	c=3 d=0.0123389 t=12038
gglk 	更老	c=1 d=0.00637737 t=12038
gglz 	更累	c=1 d=0.0126512 t=12038
ggmj 	更慢	c=1 d=0.657047 t=12038
