# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	615008
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bei ji 	北极	c=3 d=3.64133e-57 t=615008
bei jing 	北京	c=11 d=7.6679e-24 t=615008
bei jing 	背景	c=54 d=3.66356e-11 t=615008
bei lai 	被来	c=1 d=7.58779e-165 t=615008
bei ni 	被你	c=2 d=6.01709e-201 t=615008
bei ou 	北欧	c=1 d=3.15316e-40 t=615008
bei pan 	背叛	c=2 d=1.38516e-39 t=615008
bei ren 	被人	c=2 d=0 t=615008
bei sha 	被杀	c=1 d=1.09825e-220 t=615008
bei shi 	北市	c=1 d=2.08067e-61 t=615008
bei shu 	倍数	c=2 d=2.07523e-89 t=615008
bei wang lu 	备忘录	c=7 d=1.61185e-28 t=615008
bei wei 	卑微	c=1 d=3.95364e-172 t=615008
bei wo 	被我	c=19 d=3.99895e-12 t=615008
bei yong 	备用	c=10 d=8.00888e-124 t=615008
bei yong ji 	被用机	c=1 d=9.4418e-178 t=615008
bei you xi 	被游戏	c=1 d=0 t=615008
bei zhu 	备注	c=27 d=1.46917e-114 t=615008
bei zi 	被子	c=2 d=1.78156e-88 t=615008
bei zi 	辈子	c=0 d=2.7335e-96 t=615008
ben 	本	c=29 d=5.37104e-12 t=615008
ben ci 	本次	c=2 d=0 t=615008
ben di 	本地	c=263 d=0.371577 t=615008
ben di bian yi 	本地编译	c=1 d=1.01876e-189 t=615008
ben di hua 	本地化	c=1 d=0 t=615008
ben fu 	奔赴	c=1 d=2.18476e-194 t=615008
ben hang 	本行	c=1 d=8.15374e-129 t=615008
ben ji 	本机	c=13 d=7.60071e-185 t=615008
ben jin 	本金	c=15 d=1.71711e-29 t=615008
ben ke 	本科	c=3 d=7.75444e-09 t=615008
ben ke sheng 	本科生	c=1 d=0 t=615008
ben lai 	本来	c=174 d=0.0480747 t=615008
ben neng 	本能	c=3 d=0 t=615008
ben qun 	本群	c=3 d=0 t=615008
ben ren 	本人	c=5 d=2.83751e-05 t=615008
ben shen 	本身	c=33 d=0.182396 t=615008
ben ti 	本体	c=2 d=3.14779e-20 t=615008
ben wen 	本文	c=2 d=6.77524e-156 t=615008
ben wen jian 	本文件	c=1 d=1.54425e-259 t=615008
ben xiao 	本校	c=1 d=0 t=615008
ben xing 	本性	c=4 d=0 t=615008
ben ying 	本营	c=1 d=2.79184e-20 t=615008
ben zhi 	本质	c=1 d=1.40888e-121 t=615008
ben zhou 	本周	c=5 d=1.63968e-141 t=615008
ben zi 	本子	c=2 d=1.89495e-108 t=615008
beng 	崩	c=116 d=5.19146e-33 t=615008
beng bu zhu 	崩不住	c=17 d=1.52109e-52 t=615008
beng bu zu 	崩不足	c=1 d=0 t=615008
beng kai 	崩开	c=1 d=5.9021e-33 t=615008
beng kuai 	崩快	c=1 d=0.0205478 t=615008
beng kui 	崩溃	c=6 d=1.36009e-30 t=615008
bi 	币	c=22 d=3.7087e-08 t=615008
bi 	必	c=10 d=2.38399e-15 t=615008
bi 	比	c=256 d=0.509177 t=615008
bi 	毕	c=3 d=1.73526e-43 t=615008
bi 	逼	c=12 d=5.06535e-28 t=615008
bi 	闭	c=1 d=3.79062e-206 t=615008
bi an 	彼岸	c=1 d=9.84147e-107 t=615008
bi bei 	必备	c=1 d=5.37343e-76 t=615008
bi bu liao 	比不了	c=3 d=0 t=615008
bi bu shang 	比不上	c=10 d=5.69678e-52 t=615008
bi chuan 	必传	c=4 d=1.7067e-83 t=615008
bi dai 	必带	c=9 d=4.65923e-272 t=615008
bi de shang 	比得上	c=2 d=4.02727e-165 t=615008
bi ding 	必定	c=3 d=4.9123e-138 t=615008
bi dui 	比对	c=1 d=1.69377e-258 t=615008
bi fa 	必发	c=1 d=2.84718e-45 t=615008
bi hua 	笔画	c=1 d=5.60326e-245 t=615008
bi huan 	闭环	c=6 d=6.01192e-44 t=615008
bi hui 	避讳	c=1 d=3.08894e-92 t=615008
bi ji 	笔记	c=18 d=2.86106e-14 t=615008
bi ji ben 	笔记本	c=31 d=5.96364e-08 t=615008
bi jiang 	必将	c=2 d=4.35478e-250 t=615008
bi jiao 	比较	c=646 d=0.875896 t=615008
bi jiao duo 	比较多	c=1 d=1.34749e-185 t=615008
bi jiao hao 	比较好	c=1 d=7.52069e-90 t=615008
bi jiao jiu 	比较就	c=1 d=3.44775e-32 t=615008
bi jing 	毕竟	c=163 d=0.289412 t=615008
bi ju 	鼻疽	c=1 d=0 t=615008
bi kai 	避开	c=4 d=0.97531 t=615008
bi li 	比例	c=24 d=3.02282e-14 t=615008
bi lv 	比率	c=45 d=0.000201534 t=615008
bi mian 	避免	c=116 d=0.120032 t=615008
bi ni 	比你	c=9 d=4.70891e-23 t=615008
bi qi lai 	比起来	c=1 d=4.45374e-44 t=615008
bi ran 	必然	c=6 d=1.69473e-59 t=615008
bi ren 	逼人	c=1 d=0 t=615008
bi ru 	比如	c=638 d=0.480881 t=615008
bi ru shuo 	比如说	c=1 d=0 t=615008
bi sai 	比赛	c=2 d=3.09895e-130 t=615008
bi she 	毕设	c=1 d=0 t=615008
bi shi 	笔试	c=1 d=2.64527e-297 t=615008
bi shui 	避税	c=3 d=5.94266e-231 t=615008
bi si 	必死	c=2 d=1.4328e-25 t=615008
bi te bi 	比特币	c=3 d=4.11329e-79 t=615008
bi ti 	鼻涕	c=2 d=0.759572 t=615008
bi tian 	必填	c=30 d=1.39865e-06 t=615008
bi wo 	比我	c=19 d=2.90281e-08 t=615008
bi wo duo 	比我多	c=1 d=1.16898e-219 t=615008
bi wo gao 	比我高	c=1 d=1.23696e-90 t=615008
bi xian 	必现	c=36 d=9.51877e-09 t=615008
bi xu 	必须	c=166 d=0.285076 t=615008
bi xu chuan 	必须穿	c=1 d=8.45568e-145 t=615008
bi xu dao 	必须到	c=1 d=4.4255e-28 t=615008
