# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
fuvuma 	辅助码	c=3 d=0.9325 t=6937
fuxm 	复现	c=145 d=9.731 t=6937
fuzsts 	副总统	c=1 d=0.118245 t=6937
fuzv 	负罪	c=1 d=9.21203e-06 t=6937
fx, 	发现	c=1 d=2.747e-06 t=6937
fzde 	非得	c=5 d=0.0653317 t=6937
fzuu 	飞书	c=6 d=0.320609 t=6937
g 	个	c=24 d=2.87468 t=6937
gbjc 	狗叫	c=66 d=2.39121 t=6937
gbyh 	狗样	c=1 d=1.73054e-11 t=6937
gddg 	光灯	c=1 d=0.0308074 t=6937
gedj 	个蛋	c=7 d=1.89477 t=6937
gedm 	个点	c=1 d=0.0257325 t=6937
gefhmm 	各方面	c=2 d=1.30174e-07 t=6937
geuu 	个数	c=16 d=0.695944 t=6937
gew 	各	c=1 d=9.71272e-11 t=6937
gfll 	跟来	c=1 d=0.151072 t=6937
ggbm 	更变	c=1 d=0.00124328 t=6937
gggy 	更怪	c=1 d=0.0123389 t=6937
gglk 	更老	c=1 d=0.00637737 t=6937
ggmj 	更慢	c=1 d=0.657047 t=6937
ggtm 	耕田	c=2 d=0.644043 t=6937
ggud 	更爽	c=1 d=1 t=6937
ggvp 	更准	c=2 d=0.267067 t=6937
ggxnl 	耕莘	c=1 d=8.07091e-09 t=6937
ggyj 	更严	c=1 d=0.402524 t=6937
ghfa 	刚发	c=3 d=0.897604 t=6937
ghjw 	刚加	c=2 d=0.154856 t=6937
ghmj 	刚满	c=1 d=4.9821e-10 t=6937
ghuh 	刚上	c=1 d=0.421052 t=6937
ghys 	刚用	c=1 d=0.00249118 t=6937
gjbaba 	干巴巴	c=1 d=0.856415 t=6937
gjbu 	干不	c=3 d=0.283418 t=6937
gjge 	干戈	c=3 d=0.263158 t=6937
gjho 	干活	c=7 d=0.635142 t=6937
gjjj 	凲	c=2 d=0.011763 t=6937
gjma 	干嘛	c=61 d=4.19022 t=6937
gjmj 	干满	c=2 d=0.15932 t=6937
gjuo 	敢说	c=1 d=0.0156076 t=6937
gjw 	敢	c=1 d=4.03772e-08 t=6937
gkbc 	高标	c=2 d=0.0160165 t=6937
gkge 	搞个	c=20 d=0.073503 t=6937
gkll 	搞来	c=1 d=5.34243e-08 t=6937
gkwo 	告我	c=1 d=0.169483 t=6937
glco 	改错	c=3 d=0.348192 t=6937
gllj 	概览	c=1 d=1.33366e-05 t=6937
glxw 	改下	c=14 d=1.64741 t=6937
gofa 	过法	c=1 d=0.0270518 t=6937
goigvs 	过程中	c=2 d=0.00199922 t=6937
goji 	国际	c=48 d=4.77324 t=6937
gonz 	国内	c=89 d=4.6244 t=6937
goqy 	国庆	c=7 d=0.134222 t=6937
gozl 	过载	c=7 d=0.33813 t=6937
grbi 	关闭	c=192 d=6.71342 t=6937
grti 	罐体	c=1 d=0.628135 t=6937
gsan 	公案	c=1 d=0.00406639 t=6937
gsfg 	工蜂	c=20 d=0.385835 t=6937
gspl 	工牌	c=1 d=2.0869e-08 t=6937
gszouh 	工作上	c=1 d=0.00213348 t=6937
gtz, 	狗腿子	c=1 d=3.24035e-08 t=6937
